,brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size,release_date
415,Samsung,Galaxy A6+ 4/32GB Gold,Android,346,7071.0,7032.0,7129.0,4,6.0,32.0,3500.0,6-2018
416,Samsung,Galaxy A7 2018 4/64GB Black (SM-A750FZKU),Android,279,5699.0,,,1,6.0,64.0,3300.0,10-2018
417,Samsung,Galaxy A7 2018 4/64GB Blue (SM-A750FZBU),Android,689,5893.0,5570.0,6283.0,6,6.0,64.0,3300.0,10-2018
418,Samsung,Galaxy A70 2019 SM-A7050 6/128GB Black,Android,339,8816.0,8299.0,10175.0,14,6.7,128.0,4500.0,5-2019
419,Samsung,Galaxy A70 2019 SM-A7050 6/128GB Blue,Android,173,8965.0,8230.0,9499.0,11,6.7,128.0,4500.0,8-2019
420,Samsung,Galaxy A70 2019 SM-A7050 6/128GB Blue,Android,209,8965.0,8230.0,9499.0,11,6.7,128.0,4500.0,8-2019
421,Samsung,Galaxy A70 2019 SM-A7050 6/128GB Blue,Android,222,8965.0,8230.0,9499.0,11,6.7,128.0,4500.0,8-2019
422,Samsung,Galaxy A70 2019 SM-A705F 6/128GB Black (SM-A705FZKU),Android,611,8986.0,8449.0,9399.0,9,6.7,128.0,4500.0,4-2019
423,Samsung,Galaxy A71 2020 6/128GB Black (SM-A715FZKU),Android,1209,10403.0,9396.0,14538.0,79,6.7,128.0,4500.0,1-2020
424,Samsung,Galaxy A71 2020 SM-A715F 8/128GB Blue,Android,957,10848.0,10340.0,11999.0,20,6.7,128.0,4500.0,5-2020
425,Samsung,Galaxy A8+ 2018 32GB Gold (SM-A730FZDD),Android,44,7309.0,6780.0,8928.0,5,6.0,32.0,3500.0,1-2018
426,Samsung,Galaxy A8+ 2018 32GB Orchid Gray (SM-A730FZVD),Android,93,7253.0,6799.0,8499.0,5,6.0,32.0,3500.0,1-2018
427,Samsung,Galaxy A8+ 2018 32GB Orchid Gray (SM-A730FZVD),Android,102,7253.0,6799.0,8499.0,5,6.0,32.0,3500.0,1-2018
428,Samsung,Galaxy A8+ 2018 4/64GB Orchid Gray,Android,143,6542.0,,,1,6.0,64.0,3500.0,2-2018
429,Samsung,Galaxy A80 2019 8/128GB Black (SM-A805FZKD),Android,423,13131.0,,,1,6.7,128.0,3700.0,4-2019
430,Samsung,Galaxy A80 2019 A8050 8/128GB Black,Android,310,13296.0,13031.0,13709.0,6,6.7,128.0,3700.0,8-2019
431,Samsung,Galaxy A9 2018 6/128Gb Blue (SM-A920FZBD),Android,472,8610.0,7099.0,9199.0,4,6.3,128.0,3800.0,11-2018
432,Samsung,Galaxy Fold 12/256GB Black,Android,298,55338.0,45799.0,59999.0,4,7.3,256.0,4380.0,11-2019
433,Samsung,Galaxy Fold 12/512GB Black (SM-F900FZKD),Android,819,41310.0,34100.0,56999.0,31,7.3,512.0,4380.0,3-2019
434,Samsung,Galaxy Fold 5G SM-F907B 12/512GB Black,Android,304,37640.0,35400.0,49593.0,10,7.3,512.0,4235.0,3-2020
435,Samsung,Galaxy Fold 5G SM-F907B 12/512GB Silver,Android,330,37173.0,35400.0,49737.0,10,7.3,512.0,4235.0,3-2020
436,Samsung,Galaxy J6 2018 2/32GB Gold (SM-J600FZDD),Android,761,3498.0,,,1,5.6,32.0,3000.0,6-2018
437,Samsung,Galaxy M10 SM-M105F 2/16GB Black (SM-M105GDAG),Android,132,4268.0,4116.0,4516.0,6,6.22,16.0,3400.0,3-2019
438,Samsung,Galaxy M10 SM-M105F 2/16GB Black (SM-M105GDAG),Android,157,4268.0,4116.0,4516.0,6,6.22,16.0,3400.0,3-2019
439,Samsung,Galaxy M10 SM-M105F 2/16GB Black (SM-M105GDAG),Android,107,4268.0,4116.0,4516.0,6,6.22,16.0,3400.0,3-2019
440,Samsung,Galaxy M10 SM-M105F 3/32GB Black,Android,270,4100.0,,,1,6.22,32.0,3400.0,3-2019
441,Samsung,Galaxy M10 SM-M105F 3/32GB Black,Android,258,4100.0,,,1,6.22,32.0,3400.0,3-2019
442,Samsung,Galaxy M10 SM-M105F 3/32GB Blue,Android,64,4095.0,4090.0,4100.0,2,6.22,32.0,3400.0,3-2019
443,Samsung,Galaxy M10S M107F 3/32GB Black,Android,145,4882.0,4650.0,4999.0,3,6.4,32.0,4000.0,4-2020
444,Samsung,Galaxy M115 M11 3/32 Black (SM-M115FZKN),Android,1049,4171.0,3799.0,4677.0,8,6.4,32.0,5000.0,4-2020
445,Samsung,Galaxy M21 4/64GB Black (SM-M215FZKU),Android,1204,5849.0,5228.0,6181.0,67,6.4,64.0,6000.0,4-2020
446,Samsung,Galaxy M30 SM-M305F 4/64GB Gradation Blue,Android,443,6749.0,5950.0,7838.0,5,6.4,64.0,5000.0,5-2019
447,Samsung,Galaxy M31 6/128GB Black (SM-M315FZKU),Android,1214,7196.0,6698.0,7571.0,44,6.4,128.0,6000.0,2-2020
448,Samsung,Galaxy M31s 6/128GB Blue (SM-M317FZBN),Android,1184,8359.0,7429.0,9199.0,55,6.5,128.0,6000.0,9-2020
449,Samsung,Galaxy M51 6/128GB Black (SM-M515FZKD),Android,1220,9620.0,8555.0,10394.0,55,6.7,128.0,7000.0,9-2020
450,Samsung,Galaxy Note 10 SM-N9700 8/256GB Black (SM-N9700ZKD),Android,568,21353.0,20426.0,23273.0,5,6.3,256.0,3500.0,8-2019
451,Samsung,Galaxy Note 10 SM-N9700 8/256GB White,Android,658,21852.0,18449.0,23719.0,14,6.3,256.0,3500.0,9-2019
452,Samsung,Galaxy Note 10 SM-N970F 8/256GB Black (SM-N970FZKD),Android,1172,19940.0,16499.0,28940.0,53,6.3,256.0,3500.0,8-2019
453,Samsung,Galaxy Note 10+ SM-N9750 12/256GB Aura Glow,Android,909,25252.0,22849.0,26748.0,16,6.8,256.0,4300.0,8-2019
454,Samsung,Galaxy Note 10+ SM-N9750 12/512GB Black,Android,421,27124.0,,,1,6.8,512.0,4300.0,9-2019
455,Samsung,Galaxy Note 10+ SM-N975F 12/256GB Black (SM-N975FZKD),Android,1113,23920.0,20651.0,31163.0,49,6.8,256.0,4300.0,8-2019
456,Samsung,Galaxy Note 10+ SM-N975F 12/512GB Aura Black,Android,233,27973.0,25820.0,31545.0,3,6.8,512.0,4300.0,9-2019
457,Samsung,Galaxy Note 8 64GB Gold,Android,744,9923.0,9250.0,10598.0,3,6.3,64.0,3300.0,8-2017
458,Samsung,Galaxy Note 8 N950F Single sim 128GB Black,Android,184,18114.0,17695.0,18626.0,6,6.3,128.0,3300.0,6-2018
459,Samsung,Galaxy Note 8 N950F Single sim 128GB Black,Android,217,18114.0,17695.0,18626.0,6,6.3,128.0,3300.0,6-2018
460,Samsung,Galaxy Note 9 N960 6/128GB Metallic Copper,Android,889,14422.0,13890.0,15467.0,15,6.4,128.0,4000.0,8-2018
461,Samsung,Galaxy Note 9 N960 8/512GB Lavender Purple,Android,164,20948.0,20469.0,21871.0,3,6.4,512.0,4000.0,9-2018
462,Samsung,Galaxy Note 9 N960 8/512GB Lavender Purple,Android,123,20948.0,20469.0,21871.0,3,6.4,512.0,4000.0,9-2018
463,Samsung,Galaxy Note 9 N960 8/512GB Lavender Purple,Android,114,20948.0,20469.0,21871.0,3,6.4,512.0,4000.0,9-2018
464,Samsung,Galaxy Note 9 N960 8/512GB Metallic Copper,Android,813,16076.0,15090.0,21366.0,17,6.4,512.0,4000.0,8-2018
465,Samsung,Galaxy Note 9 N960 8/512GB Midnight Black,Android,992,17585.0,15840.0,23770.0,14,6.4,512.0,4000.0,8-2018
466,Samsung,Galaxy Note 9 N960 8/512GB Ocean Blue (SM-N960FZBH),Android,714,17540.0,15330.0,35999.0,16,6.4,512.0,4000.0,8-2018
467,Samsung,Galaxy Note10 Lite SM-N770F Dual 6/128GB Black (SM-N770FZKD),Android,1182,11405.0,9756.0,13999.0,77,6.7,128.0,4500.0,1-2020
468,Samsung,Galaxy Note10 Lite SM-N770F Dual 8/128GB Black (SM-N770FZKU),Android,915,12169.0,11699.0,13098.0,27,6.7,128.0,4500.0,3-2020
469,Samsung,Galaxy Note20 5G N9810 8/256GB Mystic Gray,Android,956,21175.0,20290.0,22949.0,34,6.7,256.0,4300.0,9-2020
470,Samsung,Galaxy Note20 5G SM-N981B 8/256GB Mystic Bronze,Android,730,21222.0,20230.0,28270.0,27,6.7,256.0,4300.0,8-2020
471,Samsung,Galaxy Note20 SM-N980F 8/256GB Mystic Green (SM-N980FZGG),Android,1080,22670.0,18920.0,30778.0,63,6.7,256.0,4300.0,8-2020
472,Samsung,Galaxy Note20 Ultra 5G SM-N9860 12/256GB Mystic Black,Android,1146,30008.0,28948.0,34505.0,33,6.9,256.0,4500.0,9-2020
473,Samsung,Galaxy Note20 Ultra 5G SM-N986B 12/256GB Mystic Black,Android,1013,28896.0,27149.0,34640.0,36,6.9,256.0,4500.0,8-2020
474,Samsung,Galaxy Note20 Ultra 5G SM-N986B 12/512GB Mystic Black (SM-N986BZKH),Android,800,39524.0,28381.0,41999.0,20,6.9,512.0,4500.0,8-2020
475,Samsung,Galaxy Note20 Ultra SM-N985F 8/256GB Mystic Bronze (SM-N985FZNG),Android,1147,32669.0,27599.0,35999.0,38,6.9,256.0,4500.0,8-2020
476,Samsung,Galaxy S10 Lite SM-G770 6/128GB Black (SM-G770FZKG),Android,1190,14079.0,12049.0,15469.0,4,6.7,128.0,4500.0,1-2020
477,Samsung,Galaxy S10 Lite SM-G770 8/128GB Black,Android,1054,14654.0,13167.0,16476.0,11,6.7,128.0,4500.0,3-2020
478,Samsung,Galaxy S10 SM-G973 DS 128GB Green (SM-G973FZGD),Android,1199,17561.0,14499.0,18999.0,64,6.1,128.0,3400.0,2-2019
479,Samsung,Galaxy S10 SM-G973 DS 512GB Black,Android,198,21229.0,17900.0,23261.0,13,6.1,512.0,3400.0,2-2019
480,Samsung,Galaxy S10 SM-G9730 DS 128GB Black,Android,861,19123.0,17999.0,20510.0,10,6.1,128.0,3400.0,2-2019
481,Samsung,Galaxy S10+ SM-G975 DS 128GB Black (SM-G975FZKD),Android,1180,17860.0,13888.0,23218.0,45,6.4,128.0,4000.0,2-2019
482,Samsung,Galaxy S10+ SM-G975 DS 1TB Black (SM-G975FCKH),Android,847,22932.0,20995.0,47292.0,22,6.4,1000.0,4000.0,2-2019
483,Samsung,Galaxy S10+ SM-G975 DS 1TB Ceramic White (SM-G975FCWH),Android,795,23137.0,20995.0,47292.0,22,6.4,1000.0,4000.0,2-2019
484,Samsung,Galaxy S10+ SM-G975 DS 512GB Black (SM-G975FCKG),Android,910,21304.0,18619.0,39999.0,26,6.4,512.0,4000.0,2-2019
485,Samsung,Galaxy S10+ SM-G975 DS 512GB White (SM-G975FCWG),Android,828,19878.0,17970.0,33999.0,28,6.4,512.0,4000.0,2-2019
